Maintenance_ID,Maintenance_Date,Plant_ID,Equipment_ID,Maintenance_Type,Action_Taken,Downtime_Min,Maintenance_Cost_USD,Technician_Team
MT-00001,2025-10-25 19:00:00,17,EQ-00438,Cleaning,Transformer cooling checked,173,1946.8,Team A
MT-00002,2025-02-24 08:15:00,19,EQ-00500,Inspection,Loose connection repaired,148,326.79,Team A
MT-00003,2025-08-25 16:15:00,10,EQ-00270,Cleaning,Sensor recalibrated,220,1318.96,Team A
MT-00004,2025-08-08 17:45:00,10,EQ-00259,Component Replacement,Breaker replaced,320,1454.4,Team D
MT-00005,2025-12-28 17:15:00,7,EQ-00177,Inspection,Sensor recalibrated,197,1730.49,Team A
MT-00006,2025-06-20 11:00:00,17,EQ-00455,Cleaning,Inverter reset performed,187,1102.63,Team C
MT-00007,2025-01-29 12:45:00,11,EQ-00271,Corrective Maintenance,Panel cleaning completed,332,2422.01,Team B
MT-00008,2025-10-24 12:00:00,11,EQ-00287,Inspection,Panel cleaning completed,165,917.74,Team D
MT-00009,2025-03-07 02:15:00,2,EQ-00054,Component Replacement,Loose connection repaired,62,776.28,Team D
MT-00010,2025-09-14 18:30:00,7,EQ-00182,Corrective Maintenance,Transformer cooling checked,171,250.05,Team C
MT-00011,2025-03-01 15:30:00,4,EQ-00084,Preventive Maintenance,Breaker replaced,256,1250.43,Team C
MT-00012,2025-10-21 09:45:00,13,EQ-00327,Corrective Maintenance,Inverter reset performed,156,340.79,Team D
MT-00013,2025-10-27 20:45:00,19,EQ-00497,Preventive Maintenance,Firmware updated,55,2339.87,Team B
MT-00014,2025-02-12 04:00:00,8,EQ-00205,Component Replacement,Transformer cooling checked,156,1083.75,Team B
MT-00015,2025-11-07 22:00:00,15,EQ-00385,Corrective Maintenance,Cable inspection completed,278,706.98,Team B
MT-00016,2025-12-12 02:30:00,6,EQ-00137,Corrective Maintenance,Breaker replaced,58,1860.98,Team C
MT-00017,2025-05-05 01:15:00,14,EQ-00367,Preventive Maintenance,Breaker replaced,117,2335.27,Team A
MT-00018,2025-11-17 18:30:00,17,EQ-00440,Cleaning,Breaker replaced,228,2012.39,Team D
MT-00019,2025-09-26 00:30:00,16,EQ-00418,Corrective Maintenance,Transformer cooling checked,315,2263.17,Team D
MT-00020,2025-04-02 00:15:00,6,EQ-00147,Cleaning,Inverter reset performed,177,813.71,Team C
MT-00021,2025-08-20 01:15:00,2,EQ-00052,Cleaning,Breaker replaced,126,1029.76,Team A
MT-00022,2025-11-16 06:00:00,4,EQ-00098,Cleaning,Breaker replaced,66,909.62,Team A
MT-00023,2025-11-06 00:15:00,10,EQ-00245,Preventive Maintenance,Panel cleaning completed,315,1138.43,Team C
MT-00024,2025-05-29 16:30:00,15,EQ-00403,Corrective Maintenance,Cable inspection completed,179,1228.21,Team D
MT-00025,2025-11-30 02:15:00,5,EQ-00117,Preventive Maintenance,Cable inspection completed,315,1191.66,Team A
MT-00026,2025-08-13 08:30:00,6,EQ-00161,Preventive Maintenance,Firmware updated,312,154.72,Team B
MT-00027,2025-06-04 20:15:00,11,EQ-00282,Cleaning,Inverter reset performed,235,279.95,Team D
MT-00028,2025-04-30 10:45:00,11,EQ-00273,Preventive Maintenance,Sensor recalibrated,161,514.79,Team A
MT-00029,2025-09-27 11:15:00,16,EQ-00411,Component Replacement,Panel cleaning completed,40,2484.54,Team B
MT-00030,2025-05-20 13:15:00,16,EQ-00425,Inspection,Inverter reset performed,241,534.01,Team C
MT-00031,2025-06-20 15:45:00,18,EQ-00467,Cleaning,Inverter reset performed,71,993.7,Team A
MT-00032,2025-05-28 16:15:00,7,EQ-00167,Preventive Maintenance,Inverter reset performed,202,1347.42,Team A
